fund_type,fund_style,asset_size,ranking_score,current_stocks,current_bonds,current_cash,ind_0,ind_1,ind_2,ind_3,ind_4,ind_5,ind_6,ind_7,ind_8,ind_9,ind_10,ind_11,ind_12,ind_13,ind_14,ind_15,ind_16,ind_17
股票型,大盘成长,"(19.83, 186.94]","(0.75, 1.0]",0.8923000000000001,0.0063,0.10529999999999999,0.5636,0.0,0.2061,0.0,0.005699999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.053,0.0588,0.0,0.0,0.0,0.0
混合型,大盘成长,"(2.009, 4.665]","(0.25, 0.5]",0.8423999999999999,0.0,0.2408,0.6443000000000001,0.0,0.08689999999999999,0.0,0.0,0.0581,0.0,0.0,0.0,0.0,0.0,0.030600000000000002,0.0,0.0225,0.0,0.0,0.0,0.0
股票型,大盘平衡,"(2.009, 4.665]","(0.0, 0.25]",0.9227,0.0,0.0892,0.4841,0.1577,0.0971,0.0621,0.0254,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
股票型,大盘成长,"(9.03, 19.83]","(0.75, 1.0]",0.9024,0.0,0.0509,0.7331,0.0052,0.0,0.0,0.0,0.0,0.0475,0.0,0.0,0.0,0.0,0.0,0.0796,0.037000000000000005,0.0,0.0,0.0,0.0
股票型,中盘成长,"(4.665, 9.03]","(0.5, 0.75]",0.9011,0.0,0.1185,0.7009000000000001,0.024,0.0958,0.0,0.0,0.0227,0.0,0.0385,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
混合型,大盘价值,"(2.009, 4.665]","(0.5, 0.75]",0.7542,0.1323,0.11779999999999999,0.4282,0.0,0.1356,0.12240000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.025699999999999997,0.015,0.0,0.0,0.0,0.0
股票指数,大盘成长,"(4.665, 9.03]","(0.5, 0.75]",0.9370999999999999,0.0,0.079,0.6333,0.0417,0.2514,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.010700000000000001,0.0,0.0,0.0,0.0,0.0,0.0
股票指数,大盘成长,"(4.665, 9.03]","(0.5, 0.75]",0.9370999999999999,0.0,0.079,0.6333,0.0417,0.2514,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.010700000000000001,0.0,0.0,0.0,0.0,0.0,0.0
混合型,中盘价值,"(4.665, 9.03]","(0.0, 0.25]",0.8759,0.0017000000000000001,0.126,0.5325,0.192,0.0645,0.021,0.029300000000000003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
混合型,中盘价值,"(4.665, 9.03]","(0.0, 0.25]",0.8759,0.0017000000000000001,0.126,0.5325,0.192,0.0645,0.021,0.029300000000000003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
混合型,大盘价值,"(19.83, 186.94]","(0.0, 0.25]",0.8370000000000001,0.0784,0.08929999999999999,0.4986,0.1281,0.060599999999999994,0.0334,0.0,0.0,0.0392,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
混合型,中盘价值,"(19.83, 186.94]","(0.75, 1.0]",0.8012999999999999,0.0253,0.179,0.5991,0.0113,0.0,0.0,0.0,0.0,0.165,0.0,0.0,0.0,0.0,0.026000000000000002,0.0,0.0,0.0,0.0,0.0,0.0
混合型,大盘成长,"(9.03, 19.83]","(0.75, 1.0]",0.8325,0.2452,0.0647,0.5068,0.0005,0.3103,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0149,0.0,0.0,0.0,0.0
混合型,大盘价值,"(9.03, 19.83]","(0.75, 1.0]",0.9065000000000001,0.0,0.0943,0.7236,0.11720000000000001,0.0,0.0,0.0229,0.0,0.0,0.0196,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0231,0.0,0.0
混合型,大盘价值,"(4.665, 9.03]","(0.5, 0.75]",0.8133,0.001,0.1993,0.4215,0.0906,0.1139,0.041100000000000005,0.0,0.0,0.045,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
混合型,中盘价值,"(9.03, 19.83]","(0.75, 1.0]",0.8312,0.002,0.1625,0.759,0.047,0.0088,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.016399999999999998,0.0,0.0,0.0,0.0,0.0
股票指数,大盘价值,"(9.03, 19.83]","(0.5, 0.75]",0.9286,0.0,0.07339999999999999,0.4029,0.2924,0.0348,0.0395,0.0275,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
混合型,大盘价值,"(2.009, 4.665]","(0.75, 1.0]",0.8122,0.0,0.1917,0.49560000000000004,0.0707,0.1101,0.039599999999999996,0.0,0.0,0.032799999999999996,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
混合型,大盘价值,"(9.03, 19.83]","(0.5, 0.75]",0.8969,0.0,0.1056,0.6041,0.0,0.1297,0.039900000000000005,0.0,0.0,0.069,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0223,0.0,0.0,0.0
股票指数,大盘价值,"(19.83, 186.94]","(0.25, 0.5]",0.9434,0.0007000000000000001,0.0557,0.4705,0.2168,0.067,0.0447,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0191,0.0,0.0,0.0
混合型,大盘平衡,"(19.83, 186.94]","(0.75, 1.0]",0.8033,0.0,0.19949999999999998,0.5717,0.0496,0.0,0.1243,0.032799999999999996,0.0,0.0,0.0,0.0,0.0,0.0143,0.0,0.0,0.0,0.0,0.0,0.0,0.0
混合型,大盘价值,"(9.03, 19.83]","(0.5, 0.75]",0.9396,0.0,0.060700000000000004,0.5642,0.0,0.1634,0.0,0.1391,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0054,0.0,0.0639,0.0,0.0,0.0
混合型,中盘平衡,"(2.009, 4.665]","(0.75, 1.0]",0.7958,0.0863,0.1261,0.4113,0.0,0.2157,0.030899999999999997,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07490000000000001,0.0,0.0,0.0,0.0,0.0,0.0622
混合型,大盘价值,"(2.009, 4.665]","(0.75, 1.0]",0.8845000000000001,0.0,0.11109999999999999,0.46490000000000004,0.0917,0.1014,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0558,0.0,0.0,0.032,0.0,0.0,0.0,0.0
混合型,大盘成长,"(2.009, 4.665]","(0.75, 1.0]",0.8684000000000001,0.0,0.1281,0.44939999999999997,0.0866,0.1017,0.0353,0.0,0.0,0.0,0.0,0.0,0.0,0.0663,0.0,0.0,0.0,0.0,0.0,0.0,0.0
混合型,大盘平衡,"(9.03, 19.83]","(0.5, 0.75]",0.7925,0.001,0.231,0.5381,0.030600000000000002,0.1174,0.0,0.0,0.0,0.0,0.0,0.0,0.018500000000000003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.018500000000000003
股票指数,大盘价值,"(19.83, 186.94]","(0.5, 0.75]",0.9266,0.0002,0.0727,0.3982,0.2923,0.036699999999999997,0.0391,0.0,0.0,0.0,0.026600000000000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
混合型,大盘平衡,"(19.83, 186.94]","(0.25, 0.5]",0.8676,0.0,0.1232,0.5920000000000001,0.0721,0.050499999999999996,0.0479,0.0,0.0,0.0,0.06709999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
